//Fill Tile
Fill:0
//Layer,TileID,X,Y
0,4,10,4
0,4,8,9
0,4,10,9
0,4,11,8
0,4,12,7
0,4,11,5
0,3,9,6
0,3,8,7
0,3,9,7
0,3,10,7
0,3,10,8
0,3,9,8
0,3,8,8
0,3,8,6
0,3,10,6
0,2,-1,0
0,2,-3,1
0,9,13,3
0,9,13,-8
0,9,-15,3
0,9,-15,-8
0,10,-14,-8
0,10,-13,-8
0,10,-12,-8
0,10,-11,-8
0,10,-10,-8
0,10,-9,-8
0,10,-8,-8
0,10,-7,-8
0,10,-6,-8
0,10,-5,-8
0,10,-4,-8
0,8,-3,-8
0,6,0,-8
0,10,1,-8
0,10,2,-8
0,10,3,-8
0,10,5,-8
0,10,4,-8
0,10,6,-8
0,10,7,-8
0,9,9,-8
0,10,8,-8
0,10,-14,3
0,10,-13,3
0,10,-12,3
0,8,-11,3
0,10,12,3
0,10,11,3
0,10,10,3
0,10,8,3
0,10,9,3
0,9,-15,-7
0,9,-15,-6
0,9,-15,-5
0,9,-15,-4
0,9,-15,-3
0,9,-15,-2
0,9,-15,-1
0,9,-15,0
0,9,-15,1
0,9,-15,2
0,9,13,-7
0,9,13,-6
0,9,13,-5
0,9,13,-4
0,9,13,-3
0,9,13,-2
0,9,13,-1
0,9,13,0
0,9,13,1
0,9,13,2
0,4,-14,-7
0,4,-13,-7
0,5,-14,-6
0,5,-13,-6
0,4,-11,-4
0,4,-13,-2
0,5,-13,-1
0,5,-11,-3
0,1,-9,2
0,1,-9,1
0,1,-9,0
0,1,-9,-1
0,1,-8,-1
0,1,-8,-2
0,1,-9,-2
0,1,-9,-3
0,1,-8,-3
0,1,-2,-7
0,1,-1,-7
0,1,-2,-6
0,1,-1,-6
0,1,-3,-6
0,1,-4,-6
0,1,-5,-6
0,1,-6,-6
0,1,-8,-5
0,1,-8,-4
0,1,-9,-4
0,1,-9,-5
0,1,-8,-6
0,1,-7,-6
0,1,0,-6
0,1,-1,-5
0,1,-2,-5
0,1,-3,-5
0,1,-4,-5
0,1,-6,-5
0,1,-5,-5
0,1,-7,-5
0,1,0,-5
0,1,1,-5
0,1,1,-6
0,1,2,-5
0,1,2,-6
0,1,3,-5
0,1,3,-6
0,1,4,-5
0,1,4,-4
0,1,4,-3
0,1,5,-5
0,1,4,-6
0,1,5,-4
0,1,5,-3
0,1,5,-2
0,1,4,-2
0,1,5,2
0,1,5,1
0,1,5,0
0,1,5,-1
0,1,4,-1
0,9,10,-8
0,9,11,-8
0,9,12,-8
0,9,12,-4
0,9,10,-4
0,9,9,-4
0,9,9,-5
0,9,9,-7
0,9,9,-6
0,12,10,-7
0,12,11,-7
0,12,12,-7
0,11,12,-5
0,4,10,-1
0,4,12,1
0,5,7,-2
0,5,10,0
0,5,12,2
0,4,7,-3
0,1,-10,2
0,1,-10,1
0,1,-10,0
0,1,-10,-1
0,1,-10,-2
0,1,6,2
0,1,6,1
0,1,6,0
0,1,6,-1
0,1,6,-2
0,6,7,3
0,1,-10,3
0,1,-9,3
0,1,5,3
0,1,6,3
0,1,-1,13
0,1,-2,13
0,0,5,4
0,0,5,5
0,0,4,5
0,0,4,6
0,0,5,6
0,0,3,6
0,0,4,4
0,0,3,7
0,0,4,7
0,0,3,8
0,0,4,8
0,0,3,9
0,0,2,9
0,0,2,10
0,0,3,10
0,0,2,11
0,0,3,11
0,0,2,12
0,0,1,13
0,0,2,13
0,0,2,14
0,0,1,14
0,0,0,14
0,1,-1,14
0,0,0,13
0,1,-3,13
0,1,-2,14
0,1,-3,14
0,0,3,13
0,0,3,12
0,0,-4,13
0,0,-5,13
0,0,-6,13
0,0,-5,14
0,0,-4,14
0,0,-6,12
0,0,-6,11
0,0,-7,13
0,0,-7,12
0,0,-6,14
0,0,-7,11
0,0,-7,10
0,0,-6,10
0,0,-7,9
0,0,-7,8
0,0,-8,8
0,0,-7,7
0,0,-7,6
0,0,-8,6
0,0,-8,5
0,0,-9,5
0,0,-10,5
0,0,-10,4
0,0,-9,4
0,0,-8,4
0,0,-9,6
0,0,4,9
0,0,4,10
0,0,-8,9
0,0,-8,10
0,0,-9,8
0,0,-9,7
0,0,-8,11
0,0,4,11
0,0,5,7
0,0,5,8
0,0,3,14
0,0,-7,14
0,0,-8,12
0,0,4,12
0,0,-6,9
0,0,6,4
0,0,6,5
0,1,-2,-8
0,1,-1,-8
0,22,-13,17
0,22,-12,17
0,22,-11,17
0,22,-10,17
0,23,-9,17
0,26,-9,18
0,25,-10,18
0,25,-11,18
0,25,-12,18
0,25,-13,18
0,0,2,6
0,0,-6,8
0,0,-5,9
0,4,-13,6
0,4,-10,8
0,4,-15,11
0,4,-16,6
0,4,-14,9
0,4,-19,3
0,5,-16,7
0,5,-13,7
0,5,-10,9
0,5,-14,10
0,5,-15,12
0,5,-19,4
0,3,-10,12
0,3,-10,11
0,3,-11,12
0,3,-9,12
0,3,-10,13
0,3,-11,11
0,3,-11,13
0,3,-12,12
0,3,-13,12
0,3,-12,11
0,3,-12,13
0,22,-14,17
0,22,-15,17
0,22,-16,17
0,22,-17,17
0,25,-17,18
0,25,-15,18
0,25,-14,18
0,25,-16,18
0,26,-9,19
0,26,-9,20
0,26,-9,21
0,26,-9,22
0,9,-16,19
0,9,-15,20
0,13,-13,20
0,9,-11,19
0,9,-10,19
0,9,-12,19
0,9,-13,19
0,9,-15,19
0,9,-14,19
0,13,-11,20
0,9,-10,20
0,9,-10,21
0,9,-10,22
0,9,-11,21
0,9,-11,22
0,9,-12,22
0,9,-12,21
0,9,-13,21
0,9,-14,21
0,20,-14,22
0,9,-15,22
0,9,-15,21
0,9,-16,21
0,13,-16,20
0,9,-17,20
0,21,-18,17
0,24,-18,18
0,24,-18,19
0,24,-18,20
0,24,-18,21
0,24,-18,22
0,9,-17,19
0,9,-14,20
0,9,-12,20
0,9,-17,21
0,9,-16,22
0,9,-17,22
0,20,-13,22
0,20,-13,23
0,20,-14,23
0,9,-17,23
0,9,-16,23
0,9,-15,23
0,24,-18,23
0,9,-12,23
0,9,-11,23
0,9,-10,23
0,26,-9,23
0,1,-3,15
0,1,-2,16
0,1,-1,16
0,1,-1,15
0,1,-2,15
0,1,-3,16
0,1,-3,17
0,1,-2,18
0,1,-13,24
0,1,-14,24
0,1,-14,25
0,1,-13,25
0,1,-13,26
0,1,-14,26
0,1,-12,26
0,1,-12,25
0,1,-11,25
0,1,-11,26
0,1,-10,26
0,1,-9,25
0,1,-10,25
0,1,-8,26
0,1,-8,25
0,1,-6,24
0,1,-7,24
0,1,-9,26
0,1,-7,25
0,1,-7,26
0,1,-6,25
0,1,-5,24
0,1,-5,25
0,1,-6,23
0,1,-5,23
0,1,-5,22
0,1,-4,21
0,1,-4,22
0,1,-2,21
0,1,-3,20
0,1,-3,19
0,1,-2,17
0,1,-3,18
0,1,-1,17
0,1,-1,18
0,1,-2,19
0,1,-1,20
0,1,-1,19
0,1,-2,20
0,1,-3,21
0,1,-3,23
0,1,-3,22
0,1,-4,23
0,1,-4,24
0,1,-2,22
0,1,-1,21
0,1,-6,26
0,1,-14,27
0,1,-13,27
0,1,-12,27
0,1,-11,27
0,1,-9,27
0,1,-8,27
0,1,-10,27
0,1,-7,27
0,1,-6,27
0,1,-5,26
0,1,-4,25
0,1,-3,24
0,1,-2,23
0,1,-1,22
0,9,7,-16
0,9,8,-16
0,9,9,-16
0,9,10,-16
0,16,7,-17
0,17,8,-17
0,18,9,-17
0,19,10,-17
0,9,5,-15
0,9,6,-15
0,9,7,-15
0,13,8,-15
0,13,9,-15
0,9,10,-15
0,9,11,-15
0,9,12,-15
0,9,12,-14
0,9,11,-14
0,9,10,-14
0,9,9,-14
0,9,8,-14
0,9,7,-14
0,9,6,-14
0,9,5,-14
0,9,5,-13
0,9,5,-12
0,13,6,-13
0,20,8,-13
0,9,12,-13
0,9,10,-13
0,9,6,-12
0,9,7,-12
0,20,8,-12
0,9,10,-12
0,9,12,-12
0,20,9,-12
0,9,11,-12
0,9,7,-13
0,20,9,-13
0,13,11,-13
0,1,8,-11
0,1,9,-11
0,1,9,-10
0,1,8,-10
0,1,7,-10
0,1,6,-10
0,1,4,-10
0,1,3,-10
0,1,2,-10
0,1,1,-10
0,1,0,-10
0,1,-1,-9
0,1,-2,-9
0,1,-2,-10
0,1,-1,-10
0,1,5,-10
0,1,8,-9
0,1,9,-9
0,1,7,-9
0,1,5,-9
0,1,4,-9
0,1,3,-9
0,1,2,-9
0,1,1,-9
0,1,0,-9
0,1,6,-9
0,11,8,19
0,9,8,18
0,9,9,18
0,9,10,18
0,9,11,18
0,9,12,18
0,9,13,18
0,9,14,18
0,9,14,17
0,9,8,17
0,26,15,17
0,24,7,17
0,9,9,17
0,9,10,17
0,9,11,17
0,9,12,17
0,9,13,17
0,24,7,18
0,24,7,19
0,24,7,20
0,24,7,21
0,24,7,22
0,26,15,18
0,26,15,19
0,26,15,20
0,26,15,21
0,26,15,22
0,6,12,24
0,7,13,24
0,8,10,24
0,7,9,24
0,9,8,24
0,24,7,23
0,9,14,24
0,26,15,23
0,0,9,19
0,12,10,19
0,12,12,19
0,0,13,19
0,0,13,20
0,0,12,20
0,0,10,20
0,0,9,20
0,0,8,20
0,0,9,21
0,0,8,21
0,16,7,16
0,17,8,16
0,20,9,16
0,20,10,16
0,20,11,16
0,20,13,16
0,20,12,16
0,18,14,16
0,19,15,16
0,11,8,22
0,0,9,22
0,0,10,22
0,0,12,22
0,0,13,22
0,0,14,21
0,0,13,21
0,0,12,21
0,9,10,25
0,9,12,25
0,9,13,25
0,9,14,25
0,9,9,25
0,9,8,25
0,9,7,24
0,9,15,24
0,15,14,23
0,14,14,22
0,11,14,19
0,11,8,23
0,12,11,20
0,9,9,26
0,9,10,26
0,9,13,26
0,9,12,26
0,9,7,25
0,9,15,25
0,4,6,25
0,4,16,25
0,4,5,23
0,4,17,23
0,5,5,24
0,5,6,26
0,5,16,26
0,5,17,24
0,5,18,26
0,4,18,25
0,9,-19,-19
0,25,-17,-19
0,25,-16,-19
0,25,-15,-19
0,25,-14,-19
0,13,-19,-18
0,22,-18,-20
0,22,-17,-20
0,22,-16,-20
0,22,-15,-20
0,25,-18,-19
0,9,-19,-17
0,9,-18,-16
0,22,-14,-20
0,22,-13,-20
0,26,-19,-20
0,9,-18,-17
0,26,-10,-16
0,26,-10,-18
0,26,-10,-17
0,26,-10,-19
0,26,-10,-20
0,26,-10,-21
0,26,-10,-22
0,24,-11,-22
0,24,-11,-21
0,24,-11,-20
0,9,-11,-19
0,13,-11,-18
0,9,-11,-17
0,9,-11,-16
0,25,-12,-19
0,9,-12,-18
0,9,-12,-17
0,9,-12,-16
0,25,-13,-19
0,9,-13,-18
0,9,-13,-17
0,9,-13,-16
0,9,-14,-16
0,20,-15,-16
0,9,-16,-16
0,9,-17,-16
0,23,-10,-23
0,21,-11,-23
0,22,-12,-20
0,9,-14,-17
0,13,-14,-18
0,20,-15,-17
0,9,-15,-18
0,13,-16,-18
0,9,-16,-17
0,9,-17,-17
0,9,-17,-18
0,9,-18,-18
0,9,-19,-16
0,24,-20,-16
0,24,-20,-17
0,24,-20,-18
0,24,-20,-19
0,24,-20,-20
0,24,-20,-21
0,24,-20,-22
0,21,-20,-23
0,23,-19,-23
0,26,-19,-22
0,26,-19,-21
0,10,-18,-21
0,10,-17,-21
0,10,-16,-21
0,10,-15,-21
0,10,-14,-21
0,10,-13,-21
0,10,-12,-21
0,10,-9,-21
0,10,-8,-21
0,10,-7,-21
0,10,-21,-21
0,10,-22,-21
0,10,-6,-21
0,0,-13,-13
0,0,-12,-13
0,0,-11,-13
0,0,-10,-13
0,0,-9,-13
0,0,-8,-13
0,0,-7,-13
0,0,-6,-13
0,0,-17,-13
0,0,-18,-13
0,0,-19,-13
0,0,-20,-13
0,0,-21,-13
0,0,-22,-13
0,0,-23,-13
0,26,-5,-20
0,26,-5,-19
0,26,-5,-18
0,26,-5,-17
0,26,-5,-16
0,26,-5,-15
0,26,-5,-14
0,23,-5,-21
0,26,-5,-13
0,10,-23,-21
0,24,-24,-20
0,24,-24,-18
0,24,-24,-17
0,24,-24,-19
0,24,-24,-16
0,24,-24,-15
0,24,-24,-14
0,24,-24,-13
0,21,-24,-21
0,1,-15,-15
0,1,-15,-14
0,1,-15,-13
0,1,-15,-12
0,1,-15,-11
0,1,-14,-11
0,1,-13,-11
0,1,-13,-10
0,1,-14,-10
0,1,-12,-11
0,1,-12,-10
0,1,-10,-10
0,1,-10,-11
0,1,-11,-11
0,1,-11,-10
0,1,-9,-10
0,1,-8,-10
0,1,-6,-10
0,1,-6,-9
0,1,-5,-10
0,1,-7,-10
0,1,-7,-9
0,1,-5,-9
0,1,-4,-9
0,1,-3,-9
0,1,-3,-10
0,1,-9,-11
0,1,-4,-10
0,1,-8,-9
0,1,-9,-9
0,1,-10,-9
0,6,-14,-12
0,8,-16,-12
0,1,-15,-10
0,1,-11,-9
0,3,-21,-17
0,3,-21,-16
0,3,-21,-15
0,3,-20,-15
0,3,-19,-15
0,3,-18,-15
0,3,-17,-15
0,3,-16,-15
0,3,-14,-15
0,3,-13,-15
0,3,-12,-15
0,3,-11,-15
0,3,-10,-15
0,3,-9,-15
0,3,-9,-16
0,3,-9,-17
0,6,-17,-12
0,10,-18,-12
0,10,-20,-12
0,10,-21,-12
0,10,-22,-12
0,10,-19,-12
0,10,-23,-12
0,8,-13,-12
0,10,-12,-12
0,10,-11,-12
0,10,-10,-12
0,10,-9,-12
0,10,-8,-12
0,10,-7,-12
0,10,-6,-12
0,24,-24,-12
0,26,-5,-12
0,0,-8,-14
0,4,-23,-20
0,4,-21,-20
0,4,-22,-20
0,5,-23,-19
0,5,-22,-19
0,5,-21,-19
0,4,-23,-18
0,5,-23,-17
0,5,-6,-17
0,5,-7,-19
0,5,-8,-19
0,5,-9,-19
0,4,-8,-20
0,4,-9,-20
0,4,-7,-20
0,4,-6,-18
0,2,0,0
